Category,Access_No,Title,Authors,Asset_Code,Department,Subject,Edition,Date_Year,Call_No,Publisher,Place,ISBN,Price,Bill_Date,Vendor,Pages
Books,537,"Money, Banking And Financial Markets","Cecchetti,  Stephen.",RVUN21LB0657,School of Business,Financial economics,3rd Rev Ed,2012,332 CEC,McGraw-Hill,,9.78126E+12,896.25,03/28/2022 0:00,Page - 3,704
Books,644,"Computational Finance [ 2 Vol Set ] Incl. Computational Finance Using C And C# , And",Vista books,RVUN22LB0048,School of Economics,Financial economics,1,2021,332.015197 VIS,George levy,,9.78012E+12,13841,03/17/2022 0:00,SK Publisher and Distributors,840
Books,643,Personal Finance,"Kapoor, Jack.",RVUN22LB0047,School of Economics,Financial economics,12th,2018,332.024 KAP,Tmh,,9.78939E+12,795,03/17/2022 0:00,SK Publisher and Distributors,696
Books,684,Bad Money Inside The Npa Mess,"Kaul, Vivek.",RVUN22LB0088,School of Business,Economics,1,2020,332.10954 KAU,Harper,,9.78935E+12,599,03/17/2022 0:00,SK Publisher and Distributors,339
Books,25,Financial Services,"Khan, M . Y.",RVUN21LB0025,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,26,Financial Services,"Khan, M . Y.",RVUN21LB0026,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,27,Financial Services,"Khan, M . Y.",RVUN21LB0027,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,28,Financial Services,"Khan, M . Y.",RVUN21LB0028,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,29,Financial Services,"Khan, M . Y.",RVUN21LB0029,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,30,Financial Services,"Khan, M . Y.",RVUN21LB0030,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,31,Financial Services,"Khan, M . Y.",RVUN21LB0031,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,32,Financial Services,"Khan, M . Y.",RVUN21LB0032,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,33,Financial Services,"Khan, M . Y.",RVUN21LB0033,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,34,Financial Services,"Khan, M . Y.",RVUN21LB0034,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,35,Financial Services,"Khan, M . Y.",RVUN21LB0035,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,36,Financial Services,"Khan, M . Y.",RVUN21LB0036,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,37,Financial Services,"Khan, M . Y.",RVUN21LB0037,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,38,Financial Services,"Khan, M . Y.",RVUN21LB0038,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,39,Financial Services,"Khan, M . Y.",RVUN21LB0039,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,40,Financial Services,"Khan, M . Y.",RVUN21LB0040,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,41,Financial Services,"Khan, M . Y.",RVUN21LB0041,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,42,Financial Services,"Khan, M . Y.",RVUN21LB0042,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,43,Financial Services,"Khan, M . Y.",RVUN21LB0043,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,44,Financial Services,"Khan, M . Y.",RVUN21LB0044,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,45,Financial Services,"Khan, M . Y.",RVUN21LB0045,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,46,Financial Services,"Khan, M . Y.",RVUN21LB0046,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,47,Financial Services,"Khan, M . Y.",RVUN21LB0047,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,48,Financial Services,"Khan, M . Y.",RVUN21LB0048,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,49,Financial Services,"Khan, M . Y.",RVUN21LB0049,School of Economics,Economics,10th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,50,Indian Financial System,"Khan, M . Y.",RVUN21LB0050,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,51,Indian Financial System,"Khan, M . Y.",RVUN21LB0051,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,52,Indian Financial System,"Khan, M . Y.",RVUN21LB0052,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,53,Indian Financial System,"Khan, M . Y.",RVUN21LB0053,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,54,Indian Financial System,"Khan, M . Y.",RVUN21LB0054,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,55,Indian Financial System,"Khan, M . Y.",RVUN21LB0055,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,56,Indian Financial System,"Khan, M . Y.",RVUN21LB0056,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,57,Indian Financial System,"Khan, M . Y.",RVUN21LB0057,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,58,Indian Financial System,"Khan, M . Y.",RVUN21LB0058,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,59,Indian Financial System,"Khan, M . Y.",RVUN21LB0059,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,60,Indian Financial System,"Khan, M . Y.",RVUN21LB0060,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,61,Indian Financial System,"Khan, M . Y.",RVUN21LB0061,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,62,Indian Financial System,"Khan, M . Y.",RVUN21LB0062,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,63,Indian Financial System,"Khan, M . Y.",RVUN21LB0063,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,64,Indian Financial System,"Khan, M . Y.",RVUN21LB0064,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,65,Indian Financial System,"Khan, M . Y.",RVUN21LB0065,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,66,Indian Financial System,"Khan, M . Y.",RVUN21LB0066,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,67,Indian Financial System,"Khan, M . Y.",RVUN21LB0067,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,68,Indian Financial System,"Khan, M . Y.",RVUN21LB0068,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,69,Indian Financial System,"Khan, M . Y.",RVUN21LB0069,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,70,Indian Financial System,"Khan, M . Y.",RVUN21LB0070,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,71,Indian Financial System,"Khan, M . Y.",RVUN21LB0071,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,72,Indian Financial System,"Khan, M . Y.",RVUN21LB0072,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,73,Indian Financial System,"Khan, M . Y.",RVUN21LB0073,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,74,Indian Financial System,"Khan, M . Y.",RVUN21LB0074,School of Economics,Economics,11th Ed,2019,332.10954 KHA,McGraw-Hill,Chennai,9.78935E+12,795,10/29/2021 0:00,Book Paradise,
Books,771,Banking Theory And Practice,"Shekhar, KC.",RVUN22LB0175,School of Economics,Financial economics,21th Ed,2020,332.10954 SHE,Vikas publishing house pvt ltd,,9.78933E+12,599,04/18/2022 0:00,Sapna book house,344
Books,876,Financial Markets And Institutions,"Mishkin, Frederic S.",RVUN22LB0280,School of Business,Financial economics,8th Ed,2017,332.10973 MIS,Pearson,,9.78933E+12,0,,,704
Books,770,Monetary Economics,Jhingan M.,RVUN22LB0174,School of Economics,Economics,7th Ed,2018,332.4 JHI,Vrinda publications (p) ltd,,,300,04/18/2022 0:00,Sapna book house,599
Books,880,Options Futurs And Other Derivatives,"Hull, John C.",RVUN22LB0284,School of Business,Financial economics,10th Ed,2018,332.645 HUL,Pearson,,9.78935E+12,890,04/25/2022 0:00,Sri Book World,903
Books,796,Intelligent Investor - Definitive Book On Value Investing,"Graham, Benjamin.",RVUN22LB0200,School of Liberal Arts and Sciences,Business,1,2003,332.678 GRA,Harper,,9.78006E+12,799,04/18/2022 0:00,Sapna book house,623
Books,843,The Economics Of The Environment,"Berck, Peter .",RVUN22LB0247,School of Liberal Arts and Sciences,Economics,,2015,333.7 BER,Pearson,,9.78933E+12,619,04/25/2022 0:00,Sri book world,528
Books,628,The Sustainable Economy,"Devine, Robert S.",RVUN22LB0032,School of Liberal Arts and Sciences,Climate change,1,2020,333.70973 DEV,Penguin,,9.78031E+12,699,03/17/2022 0:00,SK Publisher and Distributors,352
Books,903,Environment And Society: A Critical Introduction.,"Robbins, Paul",RVUN22LB0307,School of Liberal Arts and Sciences,Conservation and protection of natural resources,2nd Ed,2014,333.72 ROB,Wiley,,9.78112E+12,3076,03/17/2022 0:00,Amazon,336
Books,904,Environment And Society: A Critical Introduction.,"Robbins, Paul",RVUN22LB0308,School of Liberal Arts and Sciences,Conservation and protection of natural resources,2nd Ed,2014,333.72 ROB,Wiley,,9.78112E+12,3076,03/17/2022 0:00,Amazon,336
Books,21,International Economics,"Appleyard, Dennis R.",RVUN21LB0021,School of Economics,Economics,8th Ed,2013,337 APP,McGraw-Hill,Chennai,9.78126E+12,925,10/29/2021 0:00,Book Paradise,824
Books,22,International Economics,"Appleyard, Dennis R.",RVUN21LB0022,School of Economics,Economics,8th Ed,2013,337 APP,McGraw-Hill,Chennai,9.78126E+12,925,10/29/2021 0:00,Book Paradise,824
Books,687,Losing My Virginity,"Branson, Richard.",RVUN22LB0091,School of Business,Entrepreneurship,1,2009,338.04092 BRA,Virgin books,,9.78075E+12,599,04/17/2022 0:00,SK Publisher and Distributors,608
Books,566,Leadership Wisdom,"Sharma, Robin.",RVUN21LB0686,School of Liberal Arts and Sciences,Production,1st Ed,2003,338.470050684 SHA,Jaico,,978-814950632,299,03/29/2022 0:00,Book Paradise,272
Books,567,Leadership Wisdom,"Sharma, Robin.",RVUN21LB0687,School of Liberal Arts and Sciences,Production,1st Ed,2003,338.470050684 SHA,Jaico,,978-814950632,299,03/29/2022 0:00,Book Paradise,272
Books,252,Microeconomics,"Pindyck, Robert.",RVUN21LB0252,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,253,Microeconomics,"Pindyck, Robert.",RVUN21LB0253,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,254,Microeconomics,"Pindyck, Robert.",RVUN21LB0254,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,255,Microeconomics,"Pindyck, Robert.",RVUN21LB0255,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,256,Microeconomics,"Pindyck, Robert.",RVUN21LB0256,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,257,Microeconomics,"Pindyck, Robert.",RVUN21LB0257,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,258,Microeconomics,"Pindyck, Robert.",RVUN21LB0258,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,259,Microeconomics,"Pindyck, Robert.",RVUN21LB0259,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,260,Microeconomics,"Pindyck, Robert.",RVUN21LB0260,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,261,Microeconomics,"Pindyck, Robert.",RVUN21LB0261,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,262,Microeconomics,"Pindyck, Robert.",RVUN21LB0262,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,263,Microeconomics,"Pindyck, Robert.",RVUN21LB0263,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,264,Microeconomics,"Pindyck, Robert.",RVUN21LB0264,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,265,Microeconomics,"Pindyck, Robert.",RVUN21LB0265,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,266,Microeconomics,"Pindyck, Robert.",RVUN21LB0266,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,267,Microeconomics,"Pindyck, Robert.",RVUN21LB0267,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,268,Microeconomics,"Pindyck, Robert.",RVUN21LB0268,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,269,Microeconomics,"Pindyck, Robert.",RVUN21LB0269,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,270,Microeconomics,"Pindyck, Robert.",RVUN21LB0270,School of Economics,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,271,Microeconomics,"Pindyck, Robert.",RVUN21LB0271,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,272,Microeconomics,"Pindyck, Robert.",RVUN21LB0272,School of Economics,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,273,Microeconomics,"Pindyck, Robert.",RVUN21LB0273,School of Economics,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,274,Microeconomics,"Pindyck, Robert.",RVUN21LB0274,School of Economics,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,275,Microeconomics,"Pindyck, Robert.",RVUN21LB0275,School of Economics,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,276,Microeconomics,"Pindyck, Robert.",RVUN21LB0276,School of Business,Economics,8th Ed,2017,338.5 PIN,Pearson,Noida,978-9332585096,829,10/28/2021 0:00,Book Paradise,739
Books,688,Tim Cook,"Kahney, Leander .",RVUN22LB0092,School of Business,Biography,1,2019,338.761004092 KAH,Penguin,,9.78024E+12,699,04/17/2022 0:00,SK Publisher and Distributors,303
Books,794,My Life In Full : Work Family And Our Future,"Nooyi, Indra",RVUN22LB0198,School of Liberal Arts and Sciences,Biography,1,2021,338.766362092 NOO,Hachette,,978-9389253818,699,04/18/2022 0:00,Sapna book house,
Books,772,Shoe Dog : A Memoir By The Creator Of Nike,"Knight, Phil.",RVUN22LB0176,School of Liberal Arts and Sciences,Biography,1st Ed,2016,338.768876092 KNI,Simon,,9.78147E+12,499,04/18/2022 0:00,Sapna book house,404
Books,626,Tata - The Global Corporation That Built Indian Capi,"Raianu, Mircea.",RVUN22LB0030,School of Liberal Arts and Sciences,Business,1,2021,338.88954 RAI,Harvard,,9.78067E+12,799,03/17/2022 0:00,SK Publisher and Distributors,304
Books,680,Post Corona,"Galloway, Scott.",RVUN22LB0084,School of Liberal Arts and Sciences,Economics,1,2021,338.9 GAL,Penguin,,9.78055E+12,599,03/17/2022 0:00,SK Publisher and Distributors,229
Books,13,Economic Development,"Michael, Todaro.",RVUN21LB0013,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,860
Books,14,Economic Development,"Michael, Todaro.",RVUN21LB0014,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,860
Books,15,Economic Development,"Michael, Todaro.",RVUN21LB0015,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,860
Books,16,Economic Development,"Michael, Todaro.",RVUN21LB0016,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,860
Books,17,Economic Development,"Michael, Todaro.",RVUN21LB0017,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,860
Books,18,Economic Development,"Michael, Todaro.",RVUN21LB0018,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,860
Books,19,Economic Development,"Michael, Todaro.",RVUN21LB0019,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,860
Books,20,Economic Development,"Michael, Todaro.",RVUN21LB0020,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,860
Books,678,India 2030,"Chikermane, Gautam.",RVUN22LB0082,School of Liberal Arts and Sciences,Economics,1,2021,338.954 CHI,Penguin,,9.78067E+12,699,03/17/2023 0:00,SK Publisher and Distributors,290
Books,649,Advantage India,"Abdul Kalam, A. P. J.",RVUN22LB0053,School of Economics,Economic development,2,2019,338.954 KAL,Harper,,9.78935E+12,299,03/17/2022 0:00,SK Publisher and Distributors,216
Books,627,In Services Of The Republic,"Kelkar, Vijay.",RVUN22LB0031,School of Liberal Arts and Sciences,Economics,1,2019,338.954 KEL,Penguin,,9.78067E+12,699,03/17/2022 0:00,SK Publisher and Distributors,425
Books,887,The Indian Economy Since 1991,"Prakash, B. A.",RVUN22LB0291,School of Liberal Arts and Sciences,Economics,2nd Ed,2011,338.954 PRA,Pearson,,9.78813E+12,649,04/22/2022 0:00,Sri Book World,720
Books,885,Microeconomics,"Acemoglu, Daron",RVUN22LB0289,School of Economics,Microeconomics,1st Ed,2019,339 ACE,Pearson,,9.78939E+12,600,04/25/2022 0:00,Sri Book World,416
Books,886,Microeconomics,"Acemoglu, Daron",RVUN22LB0290,School of Economics,Microeconomics,4th ed,2019,339 ACE,Pearson,,9.78935E+12,815,04/25/2022 0:00,Sri Book World,488
Books,9,Microeconomics In Context,"Goodwin, Neva R.",RVUN21LB0009,School of Economics,Economics,2nd Ed,2008,339 GOO,Phi Learning,New Delhi,9.78812E+12,350,10/29/2021 0:00,Book Paradise,522
Books,10,Microeconomics In Context,"Goodwin, Neva R.",RVUN21LB0010,School of Economics,Economics,2nd Ed,2008,339 GOO,Phi Learning,New Delhi,9.78812E+12,350,10/29/2021 0:00,Book Paradise,523
Books,11,Macroeconomics In Context,"Goodwin, Neva R.",RVUN21LB0011,School of Economics,Economics,2nd Ed,2014,339 GOO,Routledge,New York,9.78132E+12,3295,10/29/2021 0:00,Book Paradise,688
Books,12,Macroeconomics In Context,"Goodwin, Neva R.",RVUN21LB0012,School of Economics,Economics,2nd Ed,2014,339 GOO,Routledge,New York,9.78132E+12,3295,10/29/2021 0:00,Book Paradise,688
Books,645,Poor Economics,"Banerjee, Abhijit",RVUN22LB0049,School of Liberal Arts and Sciences,Economics,2,2021,339.46091724 BAN,Penguin,,9.78818E+12,499,03/17/2022 0:00,SK Publisher and Distributors,442
Books,93,The Oxford Companion To Politics In India,"Jayal, Niraja Gopal",RVUN21LB0093,School of Liberal Arts and Sciences,Constitutional and administration law,,2011,342.5029 JAY,Oxford University Press,New Delhi,978-0198075929,695,10/25/2021 0:00,Book Paradise,618
Books,94,The Oxford Companion To Politics In India,"Jayal, Niraja Gopal",RVUN21LB0094,School of Liberal Arts and Sciences,Constitutional and administration law,,2011,342.5029 JAY,Oxford University Press,New Delhi,978-0198075929,695,10/25/2021 0:00,Book Paradise,618
Books,95,India'sFounding Moment : The Constitution Of A Most Surprising Democracy,"Khosla, Madhav",RVUN21LB0095,School of Liberal Arts and Sciences,Constitutional and administration law,,,342.54 KHO,Harvard,London,978-0674247987,599,10/25/2021 0:00,Book Paradise,215
Books,809,A People'S  Constitution,Rohit De,RVUN22LB0213,School of Liberal Arts and Sciences,Non fiction,,2018,342.54 ROH,Other,,9.78069E+12,699,04/25/2022 0:00,Sri Book World,280
Books,84,"Indian Constitution: Text, Context And Interpretation","Chakrabarty, Bidyut",RVUN21LB0084,School of Liberal Arts and Sciences,Political science,1st ed.,2017,342.5402 CHA,Sage,New Delhi,9.78935E+12,475,10/25/2021 0:00,Book Paradise,373
Books,90,The Indian Constitution: Cornerstone Of A Nation,"Granville, Austin",RVUN21LB0090,School of Liberal Arts and Sciences,Constitutional and administration law,,1999,342.5409 AUS,Oxford University Press,New Delhi,9.7802E+12,475,10/25/2021 0:00,Book Paradise,488
Books,947,The Indian Constitution: Cornerstone Of A Nation,"Austin, Granville",RVUN22LB0351,School of Liberal Arts and Sciences,Constitutional history,,1966,342.5409 AUS,Oxford University Press,,9.7802E+12,467,03/17/2022 0:00,Amazon,488
Books,948,The Indian Constitution: Cornerstone Of A Nation,"Austin, Granville",RVUN22LB0352,School of Liberal Arts and Sciences,Constitutional history,,1966,342.5409 AUS,Oxford University Press,,9.7802E+12,467,03/17/2022 0:00,Amazon,488
Books,949,The Indian Constitution: Cornerstone Of A Nation,"Austin, Granville",RVUN22LB0353,School of Liberal Arts and Sciences,Constitutional history,,1966,342.5409 AUS,Oxford University Press,,9.7802E+12,467,03/17/2022 0:00,Amazon,488
Books,815,10 Judgements That Changed India,"Mody, Zia.",RVUN22LB0219,School of Liberal Arts and Sciences,Non fiction,,2013,347.54077 MOD,Penguin,,9.78067E+12,399,04/25/2022 0:00,Sri Book World,256
Books,553,The Steel Frame A History Of The Ias,"Gupta, Deepak.",RVUN21LB0673,School of Liberal Arts and Sciences,Administration of central government,,2021,351.54 GUP,Lotus,,978-8194206866,395,03/29/2022 0:00,Book Paradise,368
Books,657,The Kautiliya Arthasastra,"Goyal, S.R.",RVUN22LB0061,School of Liberal Arts and Sciences,Public administration,1,2014,354.54 GOY,Kusumanjali Book World,,,375,03/17/2022 0:00,SK Publisher and Distributors,188
Books,118,Democratizing Forest Governance In India,"Lele, Sharachchandra",RVUN21LB0118,School of Liberal Arts and Sciences,Public administration,1st Ed,2014,354.550954 LEL,Oxford University Press,New Delhi,978-0198099123,895,10/25/2021 0:00,Book Paradise,432
Books,826,Introduction To Professional Counseling,"Sangganjanavanich, Varunee Faii",RVUN22LB0230,School of Liberal Arts and Sciences,Psychology,1st Ed,2014,361.06 SAN,Sage,,9.78145E+12,9850,02/25/2022 0:00,,392
Books,909,Qualitative Research In Practice: Stories From The Field.,"Darlington, Yvonne",RVUN22LB0313,School of Liberal Arts and Sciences,Qualitative research,,2002,362.072 DAR,Open university press,,9.78034E+12,2964,03/17/2022 0:00,Amazon,208
